Category,Sub Category,Location,Description,Manufacturer
General Construction,Engineering Specifications,,"140 mph Wind Rating, Fully Enclosed",
General Construction,Foundation,,"Slab on grade, reinforced footers and steel with vapor barrier and min 2500 psi per engineered drawings",
General Construction,Termite Protection,,Boracare perimeter treatment,Boracare
General Construction,Wall Plates Below 10' Tall Ceilings,,Reinforced Block Walls and 2 x 4 Wood Walls Spacing and Grade per Engineering Drawings,
General Construction,Beams and Headers,,See Engineering Drawings,
General Construction,Plate Height,,Per Plan,
General Construction,Interior Bearing Walls,,Wood Walls Spacing and Grade per Engineering Drawings,
General Construction,Interior Non-bearing Walls,,Wood Walls Spacing and Grade per Engineering Drawings,
General Construction,Roof Trusses,,Engineered Roof Truss System,
General Construction,Floor Trusses,,Engineered Floor Truss System,
General Construction,Sub-Fascia,,2 x 6 #2 SPF,
General Construction,Roof Sheathing,,"19/32"" OSB (Shingle Roof) per 2020 code change",
General Construction,Garage Door Bucks,,2x6 PT Side jambs and 2x4 PT Header,
General Construction,Structural Tie Down System,,Threaded Rods and Simpson Metal Straps and hold downs per Engineering (applicable code or greater),
General Construction,House Wrap,,"Installed Over 2x Framed walls with 1' Overlap over Block wall. Tape window sills & around all windows",
General Construction,Covered Rear Porch,,Optional Lanai,
Building Exterior,Front Exterior Finish,,Textured Cement Stucco or Cement Fiber Siding - per plan,Hardie
Building Exterior,Accent Front Elevation,,Optional Stone Accents per plan,
Building Exterior,Accent - Columns,,CMU Columns w/PCBP Finish/Hardie typ. columns (per plan),Hardie
Building Exterior,Sides & Rear Exterior Finish,,Textured Cement Stucco - Per Plan,
Building Exterior,Decorative Trim Bands,,Raised Stucco Bands per plan / Raise 2# tuff coat foam bands per plan / Hardie trim accents per plan,Hardie
Building Exterior,Decorative Accents,,Smooth or Sand Finished Foam Accents,
Building Exterior,"Stucco Stop, Weep Screed & Exp. Joints",,Installed per code,
Building Exterior,Fascia,,"6"" Aluminum Fascia",
Building Exterior,Soffit,,Aluminum Triple 4 Soffit - Non Vent,
Building Exterior,Porch/Garage Ceilings,,Aluminum Triple 4 Soffit - Vented,
Building Exterior,HVAC Pads,,"One 42""L x 42""W x 4""D Broom Swept Concrete pad 6"" off of House Slab per condenser-Location per plan",
Building Exterior,House Numbers,,Per community specifications,
Building Exterior,Mailbox,,Per community Specifications,
Exterior Flatwork,Driveway,,Paved Driveway to match the full length of the garage door only,
Exterior Flatwork,Driveway Apron,,Concrete Broom finish with 2' flare on each side,
Exterior Flatwork,Lead Walk,,Lead Walk to be 3' Wide,
Exterior Flatwork,Front Porch,,Acrylic Deck Paint with knockdown texture finish,
Exterior Flatwork,Rear Porch,,Optional Lanai with Pavers for Single Family,
Exterior Flatwork,Public Sidewalks,,Concrete Broom Finish,
Landscaping,Sod,,Per community specifications,
Landscaping,Irrigation,,Per community specifications,
Landscaping,Landscaping,,Per approved landscape plan,
Landscaping,Street Trees,,Per approved landscape plan,
Roofing,Roof Dry-in,,"Palisade Synthetic or Meritage Approved Equiv. with Perm Rating of .4 or less (Shingle), Boral Peel & Stick (Tile)",
Roofing,Drip Edge,,"6"" - 26 gauge Painted Drip Edge",
Roofing,Roof Valley Flashing,,"16"" - 26 gauge Valley Metal",
Roofing,Roof Rake Flashing,,"5"" x 5"" Galvanized Flashing",
Roofing,Roof Eave Flashing,,"5"" x 5"" Galvanized Flashing",
Roofing,Roof Shingle,,30 Year Architectural Shingle,
Roofing,Roof Vents,,4' Painted Off-Ridge Vents w/ water dam where shown on prints,
Windows & Garage Door,Windows,,MI Vinyl or Ply Gem Low E Glass (Grids Only on Front Elevation),
Windows & Garage Door,Tempered Glass,,Per Code,
Windows & Garage Door,Window and Sliding Glass Door Screens,,MI Aluminum 420 Series or Ply Gem SGD,
Windows & Garage Door,Garage Door,,"Insulated 16' x 7' Garage Door, 8' Single Garage Door on 3rd bay if applicable see plan.",
Windows & Garage Door,Garage Door Opener,,1/2 HP Door Opener with 2 Remote Controls (per door),Chamberlin
Insulation,Exterior Wall Insulation,,"(First Floor) R-4.2 Fi-Foil on exterior block walls with R=3.81 per inch (Second Floor) R= 3.81 per inch open cell spray foam insulation Icynene or equal for second floor walls",
Insulation,Ceiling Insulation,,5" thick open cell spray foam insulation Icynene or equal for all ceilings encapsulated at top chord of truss,
Insulation,Ceiling Knee Wall Insulation,,5" thick open cell spray foam insulation Icynene or equal for all ceilings encapsulated at top chord of truss (same in knee walls of garage),
Insulation,Garage Ceilings under Living Area,,5" thick open cell spray foam insulation Icynene or equal for all ceilings encapsulated at top chord of truss (same in knee walls of garage),
Insulation,Top Plate Penetrations,,Foam Sealant & Fire Caulk as required by code,
HVAC,Equipment,,Carrier Single Stage,Carrier
HVAC,Equipment,,Fresh Air Ventilator with Dehumidification,
HVAC,Thermostat,,Nest Smart Thermostat,Nest
HVAC,Air Filtration,,MERV13 Filters,
HVAC,Supply Grills,,Dampened White Directional Grills,
HVAC,Return Grills,,Stamped Metal Grills per A/C plan,
HVAC,Ductwork,,Flex Duct,
HVAC,Condensate line,,PVC Schedule 80,
HVAC,Bath Fan Venting,,Through roof on 1-story plan,
HVAC,Dryer Venting,,Supply and install recessed dryer box and vent to the exterior per plan,
General Plumbing,Water Service,,"1"" CPVC from the water meter to the Main Water Shut-off in the garage",
General Plumbing,Potable Water Pipe,,Cross-Linked Polyethylene (PEX or Aquapex) PEX and PEX insert fittings manufactured by Dura-Line meeting ASTM F-877,
General Plumbing,Main Water Shut-off Valve,,Standard in Garage,
General Plumbing,Waste Water Pipe,,"Schedule 40, Type 1, Grade 1, PVC per ASTM D-1785",
General Plumbing,Water Heater,,50 Gallon with 3.5 baths/(2) 50 Gallon with 4+ baths,
General Plumbing,Hose Bibbs,,2 Exterior Hose Bibs w/Vacuum Breakers Per Plan,
General Plumbing,Lead Roof Boots,,Supplied by plumber must be Lead Boots,
General Plumbing,Garbage Disposal,,1/3 HP Garbage Disposal,
General Plumbing,Dishwasher,,Supplied by others,
General Plumbing,Plumbing Vent Pipe Flashing,,Lead Boot,
Plumbing Fixtures,Master Bath Toilet,,Elongated Front Dual Flush Toilet (Std Height),
Plumbing Fixtures,Master Bath Garden Tub,,Per Plan,
Plumbing Fixtures,Master Bath Garden Tub Valve,,Chateau Chrome two-handle low arc roman tub faucet,Chateau
Plumbing Fixtures,Master Bath Shower Base,,(First Floor) Recessed Shower Pan w/Tile (Second Floor) Sterling Ensemble (Size Per Plan),
Plumbing Fixtures,Master Bath Shower Valve,,Chateau Chrome Posi-Temp Eco-Performance Shower,Chateau
Plumbing Fixtures,Master Bath Lavatories,,"Gerber Maxwell Round 4"" Center - 19" Round Drop-In",Gerber
Plumbing Fixtures,All Bath Lavatory Faucets,,Chateau Chrome two-handle low arc bathroom faucet,Chateau
Plumbing Fixtures,Secondary Bath Toilets,,Elongated Front Dual Flush Toilet (Std Height),
Plumbing Fixtures,Secondary Bath Tub/Shower,,5' Vikrell Tub,
Plumbing Fixtures,Secondary Bath Tub/Shr Faucets,,Chateau Chrome Posi-Temp Eco-Performance Tub/Shower,Posi-Temp
Plumbing Fixtures,Secondary Bath Lavatories,,"Gerber Maxwell Round 4"" Center - 19" Round Drop-In",Gerber
Plumbing Fixtures,Kitchen Sink,,50/50 Stainless Steel Drop-In,
Plumbing Fixtures,Kitchen Sink Faucet,,Sleek Chrome One-Handle High Arc Pulldown Kitchen Faucet,
Plumbing Fixtures,Icemaker Line w/ Recessed Box,,"1/4"" Line to Recessed Box Equipped with Shut Off",
Plumbing Fixtures,Laundry Sink,,Optional,
Plumbing Fixtures,Laundry Sink Faucet,,Optional - Chrome two-handle utility faucet,
Plumbing Fixtures,Laundry Box,,Recessed washer box with shutoffs and drain,
Cabinetry/Tops,Kitchen Base Cabinets,,Per Live.Now Packages,
Cabinetry/Tops,Kitchen Upper Cabinets,,Per Live.Now Packages,
Cabinetry/Tops,Kitchen Upper Cabinet Dimension,,"36"" high uppers with cabinet over refrigerator",
Cabinetry/Tops,Kitchen Countertop,,Laminate,
Cabinetry/Tops,Drop Zone Cabinets,,(Per plan) Color Per Selection,
Cabinetry/Tops,Drop Zone tops,,(Per plan) Color Per Selection,
Cabinetry/Tops,Crown Moldings,,No Crown Molding,
Cabinetry/Tops,Door Hardware,,T-Bar Satin Nickel Pull,
Cabinetry/Tops,Master Bath Vanity Style,,Per Live.Now Packages,
Cabinetry/Tops,Master Bath Vanity Height,,"Adult height 36""",
Cabinetry/Tops,Master Bath Vanity Top,,Granite,
Cabinetry/Tops,Secondary Bath Vanity Style,,"Standard height 32""",
Cabinetry/Tops,Secondary Bath Vanity Height,,"Standard height 32""",
Cabinetry/Tops,Secondary Bath Vanity Top,,Granite,
Flooring / Bath Accessories/ Sills,Crack Suppressant,,Crack Suppressant Membrane under all standard and optional tiled areas,
Flooring / Bath Accessories/ Sills,Foyer,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Kitchen,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Laundry,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Kitchen / Breakfast Nook,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,HVAC Closet,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bathroom Floor,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Secondary Bathroom Floors,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Powder Bathroom Floor,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Shower Floor,,"12"" Base Daltile Tile, recessed 4"" in Slab on 1st Floor. White Acrylic Pan on 2nd Floor, size per plan",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Shower Walls,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Tub Backsplash,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Kitchen Backsplash,,"6"" Daltile Subway Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Window Sill,,Corian,
Flooring / Bath Accessories/ Sills,Carpet Pad,,"1/2"" Crush Guard Standard",
Flooring / Bath Accessories/ Sills,Family Room,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Dining/Living Room,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,1st Floor Halls,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Master Bedroom,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Secondary Bedrooms,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Den,,Standard Shaw Carpet. Color Per Selection,Shaw
Interior Millwork,Front Entry Door,,"Typical: 8'0"" Fiberglass, 6 panel SMFG (plans w/Shingle Roof)",
Interior Millwork,Rear Porch Doors,,PER PLAN,
Interior Millwork,Garage / House Door,,"Six Panel, Solid Core, Wood Grain",
Interior Millwork,Interior Pre-hung Doors,,"Six Panel, Hollow Core, Wood Grain - Size and Swing Per Plan",
Interior Millwork,Exterior Door Heights,,"8'0""",
Interior Millwork,Interior Door Heights,,"6'8""",
Interior Millwork,Baseboard,,"Std 3 1/4"" colonial base board",
Interior Millwork,Door Casing,,"2-1/4"" Colonial Casing",
Interior Millwork,Window Sills,,drywall,
Interior Millwork,Window Seats,,drywall,
Interior Millwork,Knee Walls,,drywall,
Interior Millwork,Stair Knee Walls,,"1x8 Primed FJP cap with 2-1/4"" Colonial Casing",
Interior Millwork,Stair Handrail,,WM240 Primed Handrail,
Interior Millwork,Kitchen Bar Top,,"Trim underside with 2 1/4"" Colonial Casing",
Door Hardware,Front Entry Door Hardware,,Wyze Smart Lock system,Wyze
Door Hardware,Interior Door Hardware,,Privacy and Passage Round Polo Knobs,
Door Hardware,Exterior Door Hardware,,Keyed Round Knobs,
Door Hardware,House / Garage Door Hardware,,Keyed Round Knobs,
Door Hardware,Door - Spring Bumpers,,Flexible Spring Bumper,
Door Hardware,Door - Hinge Bumpers,,Door Saver Hinge Bumper,
Specialties,Bathroom Towel Bars,,"Moen Mason, Brushed Nickel finish",Moen
Specialties,Bathroom TP Holder,,"Moen Mason, Brushed Nickel finish",Moen
Specialties,Tub Shower Curtain Rod,,Steel tubing rod,
Specialties,Bath Shower Enclosure,,"Clear glass in Chrome frame (76"" Height)",
Specialties,Bathroom Medicine Cabinets,,none,
Specialties,Master Bath Mirrors,,"36"" x 96"" HD Backlit",
Specialties,Secondary Bath Mirrors,,"Standard rectangular mirrors with polished edges (28""x42"" placed over each sink)",
Specialties,Powder Room Mirror,,"Standard rectangular mirrors with polished edges (28""x42"" placed over each sink)",
Specialties,Window Blinds,,Optional Fauxwood PVC blinds,
Specialties,Master Bedroom Walk-in Closet Shelving,,"One row 12"" Vinyl Coated Shelving",
Specialties,Secondary Bedroom Closet Shelving,,"One row 12"" Vinyl Coated Shelving",
Specialties,Foyer Coat Closet Shelving,,"One row 12"" Vinyl Coated Shelving",
Specialties,Linen Shelving,,"4 Row 16"" Vinyl Coated Shelving",
Specialties,Pantry Shelving,,"4 Row of 16"" Tight Mesh vinyl-coated shelving",
Specialties,Laundry Room Shelving,,none,
Drywall,Interior Walls,,"1/2"" Regular Drywall - Orange Peel Texture",
Drywall,Interior Ceilings,,"1/2"" HD or 5/8"" Ceiling Drywall - Knockdown Texture",
Drywall,Garage Ceiling adjacent to Living Area,,"5/8"" Type X Fire Rated Drywall",
Drywall,Tile / Tub Wall Backer,,"Daltile 6"" Black Subway Tile with white sandless grout",Daltile
Drywall,Corner Bead,,Square,
Paint,Exterior Stucco / Ext. Siding Primer,,Sherwin Williams one full coat of primer applied at 1.5-2 dry mils,Sherwin Williams
Paint,Exterior Stucco / Ext. Siding Paint,,Sherwin Williams one full coat of Loxon Top Coat applied at min. wet mil thickness of 11.5mils and dry at 5 mils,Sherwin Williams
Paint,Exterior Stucco Bands / Siding Bands,,Sherwin Williams one full coat of Loxon Top Coat applied Brushed / Rolled,Sherwin Williams
Paint,Exterior Metal Garage Doors,,Sherwin Williams A100 Gloss,Sherwin Williams
Paint,Exterior Fiberglass Entry Doors,,Sherwin Williams A100 Gloss,Sherwin Williams
Paint,Exterior Caulk,,Sherwin Williams White Lightning,Sherwin Williams
Paint,Interior Walls,,Sherwin Williams Painter's Edge - One Full Coat Sprayed and Back Rolled,Sherwin Williams
Paint,Interior Ceiling,,Sherwin Williams - One Full Coat Sprayed and Back Rolled,Sherwin Williams
Paint,Interior Doors and Trim,,Sherwin Williams Promar 400 Zero VOC Semi Gloss,Sherwin Williams
Paint,Interior Caulk,,Sherwin Williams 950 Siliconized Acrylic Latex Caulk,Sherwin Williams
Appliances,Garbage Disposal,,1/3 h.p. Disposal with cord,
Appliances,Dishwasher,,Energy Star DishWasher - SS,
Appliances,Oven,,Free standing oven / glass top stove - SS,
Appliances,Microwave,,Vented Microwave above Stove Top - SS,
Appliances,Refrigerator,,Optional,
Appliances,Washer,,Optional,
Appliances,Dryer,,Optional,
